0,0
1,0
2,0
3,0
4,2
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,3
23,0
24,1
25,1
26,0
27,1
28,2
29,3
30,1
31,1
32,1
33,3
34,1
35,1
36,1
37,2
38,1
39,1
40,1
41,2
42,1
43,2
44,0
45,0
46,0
47,0
48,2
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,1
57,2
58,1
59,1
60,3
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,4
79,2
80,0
81,1
82,0
83,5
84,1
85,2
86,1
87,7
88,1
89,2
90,1
91,0
92,0
93,1
94,0
95,3
96,5
97,0
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,7
107,3
108,1
109,1
110,1
111,1
112,1
113,1
114,16
115,2
116,4
117,1
118,1
119,4
120,1
121,0
122,0
123,4
124,16
125,14
126,9
127,9
128,7
129,1
130,5
131,7
132,0
133,4
134,1
135,2
136,11
137,4
138,2
139,2
140,8
141,2
142,2
143,6
144,1
145,1
146,3
147,1
148,10
149,2
150,1
151,4
152,7
153,5
154,14
155,3
156,1
157,1
158,4
159,1
160,10
161,0
162,13
163,1
164,1
165,1
166,2
167,45
168,1
169,16
170,0
171,1
172,4
173,1
174,3
175,1
176,0
177,38
178,5
179,1
180,40
181,13
182,29
183,38
184,2
185,1
186,25
187,14
188,12
189,1
190,22
191,25
192,6
193,1
194,2
195,8
196,2
197,1
198,3
199,52
200,1
201,1
202,2
203,2
204,0
205,9
206,1
207,39
208,1
209,5
210,2
211,18
212,23
213,2
214,2
215,5
216,1
217,3
218,1
219,11
220,1
221,4
222,3
223,34
224,16
225,1
226,12
227,0
228,2
229,1
230,2
231,75
232,1
233,3
234,4
235,4
236,1
237,37
238,1
239,1
240,0
241,13
242,1
243,31
244,1
245,52
246,1
247,13
248,62
249,1
250,1
251,1
252,1
253,0
254,13
255,23
256,19
257,26
258,1
259,10
260,12
261,19
262,1
263,12
264,32
265,1
266,1
267,15
268,22
269,48
270,52
271,3
272,37
273,55
274,1
275,1
276,1
277,18
278,5
279,71
280,0
281,0
282,14
283,96
284,1
285,15
286,2
287,1
288,3
289,4
290,2
291,18
292,2
293,18
294,2
295,29
296,55
297,1
298,21
299,1
300,1
301,46
302,1
303,55
304,1
305,1
306,1
307,31
308,3
309,2
310,2
311,2
312,0
313,1
314,0
315,36
316,0
317,103
318,1
319,72
320,15
321,176
322,1
323,44
324,233
325,69
326,1
327,46
328,11
329,1
330,125
331,37
332,163
333,15
334,2
335,2
336,2
337,65
338,2
339,149
340,2
341,1
342,75
343,2
344,21
345,86
346,99
347,96
348,167
349,85
350,48
351,13
352,3
353,4
354,1
355,1
356,3
357,121
358,0
359,2
360,1
361,94
362,1
363,3
364,47
365,251
366,1
367,3
368,3
369,2
370,18
371,1
372,62
373,1
374,221
375,260
376,1
377,1
378,10
379,5
380,82
381,3
382,115
383,2
384,27
385,60
386,1
387,2
388,17
389,35
390,36
391,1
392,1
393,2
394,98
395,12
396,8
397,6
398,2
399,122
400,100
401,44
402,5
403,1
404,260
405,91
406,1
407,1
408,24
409,1
410,2
411,104
412,91
413,1
414,119
415,54
416,4
417,275
418,299
419,155
420,2
421,1
422,123
423,146
424,1
425,8
426,215
427,101
428,97
429,2
430,2
431,19
432,177
433,1
434,2
435,3
436,1
437,1
438,1
439,49
440,4
441,105
442,3
443,69
444,1
445,1
446,2
447,3
448,56
449,4
450,63
451,30
452,197
453,3
454,3
455,36
456,2
457,3
458,2
459,1
460,67
461,27
462,1
463,16
464,4
465,50
466,236
467,27
468,31
469,3
470,162
471,1
472,1
473,2
474,12
475,55
476,1
477,0
478,84
479,385
480,1
481,2
482,1
483,18
484,2
485,35
486,59
487,0
488,0
489,1
490,2
491,4
492,43
493,2
494,3
495,189
496,2
497,1
498,1
499,1
500,0
501,223
502,23
503,161
504,72
505,223
506,1
507,104
508,298
509,1
510,1
511,17
512,1
513,2
514,1
515,52
516,109
517,1
518,1
519,1
520,1
521,98
522,1
523,1
524,66
525,1
526,140
527,64
528,2
529,638
530,0
531,1
532,525
533,1
